time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1976-11-16T05:44:42.800Z,38.22,-89.69,5,2.1,mlg,,,,,nm,nm600502,2016-04-14T13:19:27.850Z,"6km ESE of Marissa, Illinois",earthquake,,,,,reviewed,nm,nm
1976-11-19T18:28:39.900Z,36.45,-89.52,5,2.1,mlg,,,,,nm,nm600503,2016-04-14T13:19:33.930Z,"9km NNW of Tiptonville, Tennessee",earthquake,,,,,reviewed,nm,nm
1976-12-11T07:05:00.400Z,38.12,-91.07,0,4.2,mb,,,,,us,usp0000kqd,2014-11-06T23:21:38.556Z,"Missouri",earthquake,,,,,reviewed,j,us
1976-12-13T08:35:54.900Z,37.8,-90.24,5,3.5,mlg,,,,,nm,nm600511,2016-04-14T13:21:34.828Z,"16km E of Farmington, Missouri",earthquake,,,,,reviewed,nm,nm
1976-12-15T11:57:07.100Z,36.07,-89.8,5,2.1,mlg,,,,,nm,nm600512,2016-04-14T13:20:28.640Z,"3km ESE of Steele, Missouri",earthquake,,,,,reviewed,nm,nm
1977-01-03T22:56:48.500Z,37.55,-89.79,5,3.4,mlg,,,,,nm,nm600517,2017-04-13T21:50:11.529Z,"20km SSE of Perryville, Missouri",earthquake,,,,,reviewed,nm,nm
1977-01-04T02:34:16.400Z,37.56,-89.75,5,2.6,mlg,,,,,nm,nm600521,2016-04-14T13:21:23.370Z,"20km SSE of Perryville, Missouri",earthquake,,,,,reviewed,nm,nm
1977-01-05T01:47:23.400Z,37.57,-89.76,10,2,mlg,,,,,nm,nm600526,2016-04-14T13:21:53.760Z,"19km SSE of Perryville, Missouri",earthquake,,,,,reviewed,nm,nm
1977-01-14T04:03:26.700Z,36.99,-89.13,5,2,mlg,,,,,nm,nm600530,2016-04-14T13:22:18.070Z,"4km ESE of Cairo, Illinois",earthquake,,,,,reviewed,nm,nm
1977-01-23T21:03:15.300Z,37.55,-89.78,5,2.3,mlg,,,,,nm,nm600531,2016-04-14T13:22:24.150Z,"20km SSE of Perryville, Missouri",earthquake,,,,,reviewed,nm,nm
1977-01-29T22:08:37.800Z,36.53,-89.58,1,2.3,mlg,,,,,nm,nm600533,2016-04-14T13:22:36.300Z,"7km SW of New Madrid, Missouri",earthquake,,,,,reviewed,nm,nm
1977-02-02T15:39:30.200Z,36.22,-89.64,5,2,mlg,,,,,nm,nm600536,2016-04-14T13:22:54.540Z,"3km NNE of Caruthersville, Missouri",earthquake,,,,,reviewed,nm,nm
1977-02-16T16:33:51.300Z,36.28,-89.54,5,2,mlg,,,,,nm,nm600545,2016-04-14T13:23:49.350Z,"5km WNW of Ridgely, Tennessee",earthquake,,,,,reviewed,nm,nm
1977-02-17T08:34:00.800Z,36.15,-89.51,5,2.2,mlg,,,,,nm,nm600546,2016-04-14T13:23:55.430Z,"12km S of Ridgely, Tennessee",earthquake,,,,,reviewed,nm,nm
1977-03-20T05:27:58.600Z,36.51,-89.56,5,2.8,mlg,,,,,nm,nm600550,2016-04-14T13:24:19.750Z,"8km SSW of New Madrid, Missouri",earthquake,,,,,reviewed,nm,nm
1977-03-28T11:17:14.200Z,36.48,-89.54,10,2.9,mlg,,,,,nm,nm600551,2016-04-14T13:24:25.830Z,"11km S of New Madrid, Missouri",earthquake,,,,,reviewed,nm,nm
1977-04-15T17:31:11.800Z,37.22,-89.81,10,2.5,mlg,,,,,nm,nm600559,2016-04-14T13:25:14.470Z,"14km WNW of Chaffee, Missouri",earthquake,,,,,reviewed,nm,nm
1977-05-13T01:29:02.200Z,35.98,-91.2,5,2.2,mlg,,,,,nm,nm600569,2016-04-14T13:26:15.250Z,"21km WSW of Hoxie, Arkansas",earthquake,,,,,reviewed,nm,nm
1977-05-31T00:33:05.400Z,36.56,-89.81,11.4,2.1,mlg,,,,,nm,nm600572,2016-04-14T13:26:27.390Z,"14km E of Malden, Missouri",earthquake,,,,,reviewed,nm,nm
1977-06-04T18:59:03.700Z,36.24,-89.59,0.6,2,mlg,,,,,nm,nm600575,2016-04-14T13:26:39.550Z,"7km NE of Caruthersville, Missouri",earthquake,,,,,reviewed,nm,nm
1977-06-29T05:32:15.400Z,36.67,-91.03,5,2.3,mlg,,,,,nm,nm600588,2016-04-14T13:27:58.560Z,"19km WNW of Doniphan, Missouri",earthquake,,,,,reviewed,nm,nm
1977-07-11T12:34:37.600Z,39.71,-89.38,9,2.2,mlg,,,,,nm,nm600595,2016-04-14T13:28:41.150Z,"5km N of Edinburg, Illinois",earthquake,,,,,reviewed,nm,nm
1977-08-04T01:05:19.300Z,36.55,-89.6,5,2,mlg,,,,,nm,nm600599,2016-04-14T13:29:05.450Z,"4km SSE of Lilbourn, Missouri",earthquake,,,,,reviewed,nm,nm
1977-08-06T12:50:04.100Z,36.07,-91.13,5,2.3,mlg,,,,,nm,nm600601,2016-04-14T13:29:17.600Z,"14km W of Hoxie, Arkansas",earthquake,,,,,reviewed,nm,nm
1977-08-18T20:25:59.800Z,36.12,-89.74,5,2.2,mlg,,,,,nm,nm600609,2016-04-14T13:30:06.280Z,"8km ENE of Steele, Missouri",earthquake,,,,,reviewed,nm,nm
1977-09-23T15:32:22.400Z,36.06,-89.88,5,2.3,mlg,,,,,nm,nm600616,2016-04-14T13:30:48.830Z,"5km WSW of Steele, Missouri",earthquake,,,,,reviewed,nm,nm
